disease_j,disease_k,disease_l,evidence_tier,n_valid,n_joint_events,triplet_prevalence,O,E,OE_ratio,OE_ci_lo,OE_ci_hi,OE_ci_method,OE_excludes_1,auc_joint,auc_ci_lo,auc_ci_hi,auc_age_only,auc_gain_over_age,beats_age_baseline,brier_joint
Hypertension,Stroke Cerebrovascular,Atrial Fibrillation,suppressed,7929,,,,0.33,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Peripheral Vascular Disease,suppressed,7942,,,,0.15,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,COPD,suppressed,6897,,,,0.22,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Chronic Kidney Disease,suppressed,7886,,,,0.17,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Chronic Liver Disease,suppressed,7837,,,,0.13,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Depression,suppressed,7438,,,,0.21,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Substance Use Disorder,suppressed,7870,,,,0.27,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Osteoarthritis,suppressed,7570,,,,0.63,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Hypothyroidism,suppressed,7863,,,,0.07,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Sleep Apnea,suppressed,7910,,,,0.22,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Cancer Lung,suppressed,7954,,,,0.08,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Cancer Colorectal,suppressed,7936,,,,0.07,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Cancer Prostate,suppressed,7934,,,,0.16,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Cancer Other,suppressed,7722,,,,0.28,,,,,,,,,,,,
Hypertension,Stroke Cerebrovascular,Anxiety,suppressed,7857,,,,0.22,,,,,,,,,,,,
Hypertension,Heart Failure,Atrial Fibrillation,suppressed,7986,,,,0.42,,,,,,,,,,,,
Hypertension,Heart Failure,Peripheral Vascular Disease,suppressed,8000,,,,0.2,,,,,,,,,,,,
Hypertension,Heart Failure,COPD,suppressed,6934,,,,0.31,,,,,,,,,,,,
Hypertension,Heart Failure,Chronic Kidney Disease,suppressed,7943,,,,0.21,,,,,,,,,,,,
Hypertension,Heart Failure,Chronic Liver Disease,suppressed,7891,,,,0.18,,,,,,,,,,,,
Hypertension,Heart Failure,Depression,suppressed,7488,,,,0.28,,,,,,,,,,,,
Hypertension,Heart Failure,Substance Use Disorder,suppressed,7925,,,,0.3,,,,,,,,,,,,
Hypertension,Heart Failure,Osteoarthritis,suppressed,7621,,,,0.73,,,,,,,,,,,,
Hypertension,Heart Failure,Hypothyroidism,suppressed,7921,,,,0.09,,,,,,,,,,,,
Hypertension,Heart Failure,Sleep Apnea,suppressed,7967,,,,0.33,,,,,,,,,,,,
Hypertension,Heart Failure,Cancer Lung,suppressed,8011,,,,0.1,,,,,,,,,,,,
Hypertension,Heart Failure,Cancer Colorectal,suppressed,7994,,,,0.08,,,,,,,,,,,,
Hypertension,Heart Failure,Cancer Prostate,suppressed,7991,,,,0.17,,,,,,,,,,,,
Hypertension,Heart Failure,Cancer Other,suppressed,7775,,,,0.33,,,,,,,,,,,,
Hypertension,Heart Failure,Anxiety,suppressed,7913,,,,0.27,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Peripheral Vascular Disease,suppressed,7971,,,,0.25,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,COPD,suppressed,6916,,,,0.4,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Chronic Kidney Disease,suppressed,7915,,,,0.27,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Chronic Liver Disease,suppressed,7862,,,,0.26,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Depression,suppressed,7461,,,,0.4,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Substance Use Disorder,suppressed,7896,,,,0.43,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Osteoarthritis,suppressed,7596,,,,1.36,,,,,,,,,,,,
