disease_j,disease_k,evidence_tier,n_valid,n_joint_events,pair_prevalence,O,E,OE_ratio,OE_ci_lo,OE_ci_hi,OE_ci_method,OE_excludes_1,auc_joint,auc_ci_lo,auc_ci_hi,auc_age_only,auc_gain_over_age,beats_age_baseline,brier_joint
Hypertension,Substance Use Disorder,low_n,3507,12,0.00342,12,10.2,1.177,0.608,2.056,poisson_exact,includes_1,,,,,,,
Diabetes Mellitus,COPD,low_n,7303,12,0.00164,12,20.19,0.594,0.307,1.038,poisson_exact,includes_1,,,,,,,
Hyperlipidemia,Peripheral Vascular Disease,low_n,6529,12,0.00184,12,16.93,0.709,0.366,1.238,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Depression,low_n,8664,12,0.00139,12,18.68,0.642,0.332,1.122,poisson_exact,includes_1,,,,,,,
Coronary Heart Disease,Sleep Apnea,low_n,9089,12,0.00132,12,18.73,0.641,0.331,1.119,poisson_exact,includes_1,,,,,,,
Stroke Cerebrovascular,Chronic Kidney Disease,low_n,9291,12,0.00129,12,18.38,0.653,0.337,1.14,poisson_exact,includes_1,,,,,,,
Heart Failure,Substance Use Disorder,low_n,10388,12,0.00116,12,14.28,0.84,0.434,1.468,poisson_exact,includes_1,,,,,,,
Heart Failure,Cancer Prostate,low_n,10201,12,0.00118,12,24.83,0.483,0.25,0.844,poisson_exact,below_1,,,,,,,
Atrial Fibrillation,Chronic Liver Disease,low_n,9815,12,0.00122,12,13.62,0.881,0.455,1.539,poisson_exact,includes_1,,,,,,,
Chronic Kidney Disease,Osteoarthritis,low_n,8528,12,0.00141,12,41.7,0.288,0.149,0.503,poisson_exact,below_1,,,,,,,
Chronic Liver Disease,Substance Use Disorder,low_n,10056,12,0.00119,12,5.22,2.298,1.187,4.014,poisson_exact,above_1,,,,,,,
Cancer Colorectal,Cancer Prostate,low_n,10228,12,0.00117,12,11.65,1.03,0.532,1.799,poisson_exact,includes_1,,,,,,,
