disease_j,disease_k,disease_l,evidence_tier,n_valid,n_joint_events,triplet_prevalence,O,E,OE_ratio,OE_ci_lo,OE_ci_hi,OE_ci_method,OE_excludes_1,auc_joint,auc_ci_lo,auc_ci_hi,auc_age_only,auc_gain_over_age,beats_age_baseline,brier_joint
Hypertension,Peripheral Vascular Disease,Sleep Apnea,suppressed,5247,,,,0.09,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Cancer Breast,suppressed,4969,,,,0.28,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Cancer Lung,suppressed,5243,,,,0.17,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Cancer Colorectal,suppressed,5220,,,,0.11,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Cancer Other,suppressed,4908,,,,0.38,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Anxiety,suppressed,5179,,,,0.55,,,,,,,,,,,,
Hypertension,COPD,Chronic Kidney Disease,suppressed,4082,,,,0.56,,,,,,,,,,,,
Hypertension,COPD,Chronic Liver Disease,suppressed,4226,,,,0.2,,,,,,,,,,,,
Hypertension,COPD,Depression,suppressed,3956,,,,0.54,,,,,,,,,,,,
Hypertension,COPD,Substance Use Disorder,suppressed,4302,,,,0.12,,,,,,,,,,,,
Hypertension,COPD,Osteoarthritis,suppressed,3651,,,,2.16,,,,,,,,,,,,
Hypertension,COPD,Rheumatoid Arthritis,suppressed,4220,,,,0.3,,,,,,,,,,,,
Hypertension,COPD,Osteoporosis,suppressed,4004,,,,0.8,,,,,,,,,,,,
Hypertension,COPD,Hypothyroidism,suppressed,3836,,,,0.37,,,,,,,,,,,,
Hypertension,COPD,Sleep Apnea,suppressed,4300,,,,0.15,,,,,,,,,,,,
Hypertension,COPD,Cancer Breast,suppressed,4074,,,,0.48,,,,,,,,,,,,
Hypertension,COPD,Cancer Lung,suppressed,4299,,,,0.27,,,,,,,,,,,,
Hypertension,COPD,Cancer Colorectal,suppressed,4283,,,,0.18,,,,,,,,,,,,
Hypertension,COPD,Cancer Other,suppressed,4040,,,,0.63,,,,,,,,,,,,
Hypertension,COPD,Anxiety,suppressed,4245,,,,0.88,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Chronic Liver Disease,suppressed,4889,,,,0.2,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Depression,suppressed,4585,,,,0.48,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Substance Use Disorder,suppressed,4975,,,,0.1,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Osteoarthritis,suppressed,4239,,,,2.18,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Rheumatoid Arthritis,suppressed,4870,,,,0.28,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Osteoporosis,suppressed,4602,,,,0.7,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Hypothyroidism,suppressed,4457,,,,0.38,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Sleep Apnea,suppressed,4973,,,,0.16,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Cancer Breast,suppressed,4705,,,,0.47,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Cancer Lung,suppressed,4971,,,,0.23,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Cancer Colorectal,suppressed,4949,,,,0.18,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Cancer Other,suppressed,4666,,,,0.63,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Anxiety,suppressed,4909,,,,0.79,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Depression,suppressed,4747,,,,0.18,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Substance Use Disorder,suppressed,5172,,,,0.05,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Osteoarthritis,suppressed,4375,,,,0.78,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Rheumatoid Arthritis,suppressed,5055,,,,0.12,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Osteoporosis,suppressed,4776,,,,0.25,,,,,,,,,,,,
