disease_j,disease_k,disease_l,evidence_tier,n_valid,n_joint_events,triplet_prevalence,O,E,OE_ratio,OE_ci_lo,OE_ci_hi,OE_ci_method,OE_excludes_1,auc_joint,auc_ci_lo,auc_ci_hi,auc_age_only,auc_gain_over_age,beats_age_baseline,brier_joint
Hypertension,Atrial Fibrillation,COPD,suppressed,6916,,,,0.33,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Chronic Kidney Disease,suppressed,7915,,,,0.25,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Chronic Liver Disease,suppressed,7862,,,,0.23,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Depression,suppressed,7461,,,,0.33,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Substance Use Disorder,suppressed,7896,,,,0.4,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Osteoarthritis,suppressed,7596,,,,1.09,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Hypothyroidism,suppressed,7891,,,,0.12,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Sleep Apnea,suppressed,7938,,,,0.41,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Cancer Lung,suppressed,7982,,,,0.1,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Cancer Colorectal,suppressed,7965,,,,0.12,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Cancer Prostate,suppressed,7963,,,,0.28,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Cancer Other,suppressed,7749,,,,0.4,,,,,,,,,,,,
Hypertension,Atrial Fibrillation,Anxiety,suppressed,7885,,,,0.39,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,COPD,suppressed,6924,,,,0.16,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Chronic Kidney Disease,suppressed,7930,,,,0.1,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Chronic Liver Disease,suppressed,7877,,,,0.09,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Depression,suppressed,7477,,,,0.16,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Substance Use Disorder,suppressed,7911,,,,0.2,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Osteoarthritis,suppressed,7608,,,,0.35,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Hypothyroidism,suppressed,7906,,,,0.05,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Sleep Apnea,suppressed,7953,,,,0.13,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Cancer Lung,suppressed,7997,,,,0.06,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Cancer Colorectal,suppressed,7980,,,,0.04,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Cancer Prostate,suppressed,7977,,,,0.08,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Cancer Other,suppressed,7764,,,,0.13,,,,,,,,,,,,
Hypertension,Peripheral Vascular Disease,Anxiety,suppressed,7899,,,,0.19,,,,,,,,,,,,
Hypertension,COPD,Chronic Kidney Disease,suppressed,6879,,,,0.16,,,,,,,,,,,,
Hypertension,COPD,Chronic Liver Disease,suppressed,6831,,,,0.16,,,,,,,,,,,,
Hypertension,COPD,Depression,suppressed,6495,,,,0.25,,,,,,,,,,,,
Hypertension,COPD,Substance Use Disorder,suppressed,6867,,,,0.3,,,,,,,,,,,,
Hypertension,COPD,Osteoarthritis,suppressed,6607,,,,0.57,,,,,,,,,,,,
Hypertension,COPD,Hypothyroidism,suppressed,6857,,,,0.07,,,,,,,,,,,,
Hypertension,COPD,Sleep Apnea,suppressed,6892,,,,0.23,,,,,,,,,,,,
Hypertension,COPD,Cancer Lung,suppressed,6934,,,,0.08,,,,,,,,,,,,
Hypertension,COPD,Cancer Colorectal,suppressed,6919,,,,0.06,,,,,,,,,,,,
Hypertension,COPD,Cancer Prostate,suppressed,6915,,,,0.12,,,,,,,,,,,,
Hypertension,COPD,Cancer Other,suppressed,6730,,,,0.2,,,,,,,,,,,,
Hypertension,COPD,Anxiety,suppressed,6846,,,,0.29,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Chronic Liver Disease,suppressed,7825,,,,0.1,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Depression,suppressed,7422,,,,0.15,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Substance Use Disorder,suppressed,7855,,,,0.16,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Osteoarthritis,suppressed,7555,,,,0.43,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Hypothyroidism,suppressed,7850,,,,0.05,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Sleep Apnea,suppressed,7896,,,,0.18,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Cancer Lung,suppressed,7941,,,,0.04,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Cancer Colorectal,suppressed,7924,,,,0.05,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Cancer Prostate,suppressed,7920,,,,0.1,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Cancer Other,suppressed,7709,,,,0.16,,,,,,,,,,,,
Hypertension,Chronic Kidney Disease,Anxiety,suppressed,7843,,,,0.19,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Depression,suppressed,7374,,,,0.18,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Substance Use Disorder,suppressed,7813,,,,0.25,,,,,,,,,,,,
Hypertension,Chronic Liver Disease,Osteoarthritis,suppressed,7511,,,,0.43,,,,,,,,,,,,
